product_id,name,category,size,desc,color,quantity,price,pic,link
1,White Skirt,Clothing,XL,A simple white skirt with a small floral embroidery detail near the hem.,White,44,43.56,1.jpg,https://drive.google.com/file/d/1kDcSno7Q6wBzc1qQ7Omg3bQHQEAZ-0M8/view?usp=drivesdk
2,Denim Skirt,Clothing,M,A blue denim mini skirt with front pockets and a button closure.,Blue,0,34.18,2.jpg,https://drive.google.com/file/d/1_z3swJtWpupO_HmOnpymvlKVihZoG1ya/view?usp=drivesdk
3,Denim Skirt,Clothing,XL,A dark blue denim skirt with front pockets and a button closure.,Blue,35,39.67,3.jpg,https://drive.google.com/file/d/120PsY7qgWX8qyLzXCIDsqxvWcFw0KM0l/view?usp=drivesdk
4,Athletic Shorts,Clothing,S,Black athletic shorts with an elastic waistband and blue side panels.,Black,7,46.63,4.jpg,https://drive.google.com/file/d/1ivJRw1Uu9lRyNHiwVHewEoLGiBF-iY19/view?usp=drivesdk
5,Grey Sweatpants,Clothing,XL,Comfortable grey sweatpants with an elastic waistband and side pockets.,Grey,7,35.03,5.jpg,https://drive.google.com/file/d/1H7JZPG9ZnhMZ6iUvFPd-XKBx7FIvcXil/view?usp=drivesdk
6,Nike Windbreaker Jacket,Clothing,L,"A lightweight Nike windbreaker jacket with a hood, featuring a purple and white color block design.",Purple,27,17.79,6.jpg,https://drive.google.com/file/d/19Jkx_MJ0Pz2fISdIPUBRlh0RRCLJqWjx/view?usp=drivesdk
7,Nike Shorts,Clothing,XL,Black knee-length Nike shorts with an elastic waistband and a small logo on the side.,Black,22,48.11,7.jpg,https://drive.google.com/file/d/1oSf1rwAiZhYR9YO-BdW-svbEIV2Qjw99/view?usp=drivesdk
8,Basketball Shorts,Clothing,S,Black basketball shorts with white side panels and an elastic waistband.,Black,16,30.5,8.jpg,https://drive.google.com/file/d/1DB2offVRu5PZUsfsClPsRWYbRFjuwSFt/view?usp=drivesdk
9,Nike Shorts,Clothing,S,White athletic shorts with an elastic waistband and a black Nike logo on the leg.,White,33,39.11,9.jpg,https://drive.google.com/file/d/1zFAgFVuMB1eZVZm01dV0m1hjcWCkuPpn/view?usp=drivesdk
10,Running Shoe,Clothing,XL,A silver and blue running shoe with mesh and synthetic overlays for breathability and support.,Silver,14,46.68,10.jpg,https://drive.google.com/file/d/1uK_srN0Nihz3N82Ix3ik5q4HUAII-N1O/view?usp=drivesdk
11,Athletic Shorts,Clothing,S,Black athletic shorts with a white vertical stripe on the side.,Black,8,22.68,11.jpg,https://drive.google.com/file/d/1M83yf7oz94GCsfo2F5ES25zznuJHVA0p/view?usp=drivesdk
12,Metallic Wristwatch,Clothing,L,A metallic wristwatch with a rectangular dial and a two-tone silver and gold strap.,Silver,43,40.01,12.jpg,https://drive.google.com/file/d/1lBHQyk8AtfvvqGeKjmu4H1hFY5c-qTHr/view?usp=drivesdk
13,Silver Wristwatch,Clothing,M,A silver metal wristwatch with a rectangular face and a unique dial design.,Silver,8,42.08,13.jpg,https://drive.google.com/file/d/1XU8Qd-uZHVdiZ8szsf0DSvIVIoe6rNaR/view?usp=drivesdk
14,Esprit Watch,Clothing,XL,A stylish Esprit wristwatch featuring a white woven strap and a gold-tone rectangular face adorned with crystals.,White,31,15.67,14.jpg,https://drive.google.com/file/d/1ZXbasuN3lRYTPDwAaouXZmn6pU4RZy1f/view?usp=drivesdk
15,Leather Dress Shoe,Clothing,M,A brown leather lace-up dress shoe with a sleek design and black sole.,Brown,21,30.6,15.jpg,https://drive.google.com/file/d/1LoArapfi9SG32MjM40XqXy6AdenuMv_v/view?usp=drivesdk
16,Leather Oxford,Clothing,M,A black leather Oxford shoe with lace-up closure and decorative stitching.,Black,48,46.32,16.jpg,https://drive.google.com/file/d/1Z6QRLESe0biOXynjD_t2sq7iSNyhDf7f/view?usp=drivesdk
17,Black Leather Watch,Clothing,M,A black square-faced wristwatch with a black leather strap and multiple dials.,Black,48,34.57,17.jpg,https://drive.google.com/file/d/1RXEu-ib5LQhprBNr-IlecIQyo-IACZ_U/view?usp=drivesdk
18,Leather Handbag,Clothing,XL,A red leather handbag with dual handles and front zipper pockets.,Red,3,22.41,18.jpg,https://drive.google.com/file/d/1D20Iy21eu3baLbrXsupQWSXk9A3mYM22/view?usp=drivesdk
19,Pink Handbag,Clothing,M,A pink leather handbag with dual handles and zipper details on the front.,Pink,7,44.58,19.jpg,https://drive.google.com/file/d/1jH7FBw7PxCj28OFldfYW5l75cco1X0_p/view?usp=drivesdk
20,Green Handbag,Clothing,XL,A large green leather handbag with dual zipper pockets and a soft handle.,Green,29,17.36,20.jpg,https://drive.google.com/file/d/1VnZEL181MqsdN82BkiqCnKX4ux9PWkOv/view?usp=drivesdk
21,Pinstripe Trousers,Clothing,S,Men's formal pinstripe trousers with a straight fit and belt loops.,Gray,41,38.98,21.jpg,https://drive.google.com/file/d/1EUGFRhIaQOKCI_G5x3QFKxpgpw3jhONH/view?usp=drivesdk
22,Formal Trousers,Clothing,L,"A pair of black formal trousers with a straight fit, worn with a belt.",Black,10,40.65,22.jpg,https://drive.google.com/file/d/1TOLqkJeydqsfIo12CRWfwkrq12FjhZB4/view?usp=drivesdk
23,Leather Oxford,Clothing,S,A brown leather Oxford shoe with a lace-up design and a low heel.,Brown,32,39.83,23.jpg,https://drive.google.com/file/d/1U5HXiRIXjrkU7IXABkUFcc0giPi6I3v8/view?usp=drivesdk
24,Leather Loafer,Clothing,L,A dark brown leather slip-on loafer with detailed stitching.,Brown,46,39.49,24.jpg,https://drive.google.com/file/d/1xuf38qLvfOmnkFvWtTZth-NaKlMBjeU_/view?usp=drivesdk
25,Blue Strap Watch,Clothing,XL,A wristwatch with a blue strap and a silver dial adorned with blue and clear stones around the bezel.,Blue,45,28.66,25.jpg,https://drive.google.com/file/d/12FjUl7DktzK9B4oGKWh031pM4hcwWtUG/view?usp=drivesdk
26,Leather Belt,Clothing,M,A black leather belt with a silver rectangular buckle.,Black,31,18.24,26.jpg,https://drive.google.com/file/d/1EhLojfk8_sXI-vy3JlSvcao23cD3fh_h/view?usp=drivesdk
27,Basic T-shirt,Clothing,XL,"A plain, fitted short-sleeve T-shirt with a round neckline.",Blue,14,39.58,27.jpg,https://drive.google.com/file/d/1ltA2z6bL8NkMztFITkrWjO6HpxYB7wah/view?usp=drivesdk
28,Plaid Midi Skirt,Clothing,L,A high-waisted midi skirt featuring a grey plaid pattern with a flared silhouette.,Grey,5,31.13,28.jpg,https://drive.google.com/file/d/1OwvBHd7YJZ8GgcedILnLIMVbAUxFjH5T/view?usp=drivesdk
29,A-line skirt,Clothing,L,A knee-length black A-line skirt with a fitted waist and flared hem.,Black,36,45.45,29.jpg,https://drive.google.com/file/d/1zhzFswDMTlnKQArG_iv2A8Q52Fc0YNjM/view?usp=drivesdk
30,Puma wristwatch,Clothing,M,"A stylish wristwatch with a black and purple dial, crystal markers, and a black leather strap featuring the Puma logo.",Black,39,31.77,30.jpg,https://drive.google.com/file/d/1nQ_SEyAEaj8WpvUdwz9kCBg2gQLZLIGi/view?usp=drivesdk
31,Graphic T-shirt,Clothing,L,A grey short-sleeve t-shirt featuring a colorful abstract face graphic on the front.,Grey,37,45.89,31.jpg,https://drive.google.com/file/d/1949nmVUYGwrNrt8tDt1Kb75NSao48ToU/view?usp=drivesdk
32,Green Polo Shirt,Clothing,XL,A green short-sleeve polo shirt with a collar and small embroidered logo on the chest.,Green,48,47.75,32.jpg,https://drive.google.com/file/d/1r4cMOlkQsL2xLUzVa3FgLLNIA-is-__k/view?usp=drivesdk
33,Dark Denim Jeans,Clothing,L,A pair of dark blue denim jeans with contrast stitching and a classic fit.,Blue,49,11.82,33.jpg,https://drive.google.com/file/d/1HAfyWb0QBEmUmPiyDdrtY3Xq1wqCjNkP/view?usp=drivesdk
34,Running Shoe,Clothing,S,A white and navy running shoe with mesh and synthetic overlays and neon green accents.,White,36,33.69,34.jpg,https://drive.google.com/file/d/1OLOb_XyNGK2Bid3oilTNMSgU1xH40DOZ/view?usp=drivesdk
35,V-neck Sweater,Clothing,S,"A rust-colored V-neck sweater with white stripes on the sleeve and hem, featuring a white 'P' on the chest.",Rust,28,21.25,35.jpg,https://drive.google.com/file/d/1nMTjfNrYTN1HQP6H5cagA-UsAEbObTs8/view?usp=drivesdk
36,Polo Shirt,Clothing,M,A navy blue short-sleeve polo shirt with light blue accents on the collar and sleeve edges.,Navy Blue,44,46.16,36.jpg,https://drive.google.com/file/d/1Gz92xuY9DgqlfPV6OCEiYyvOC1y7B7TB/view?usp=drivesdk
37,Graphic T-shirt,Clothing,L,Black short-sleeve V-neck T-shirt with a large graphic print and text on the front.,Black,25,42.75,37.jpg,https://drive.google.com/file/d/17Vk_Usr3GOC81GMZ6CASuSwQRJO1aaBs/view?usp=drivesdk
38,Square Chronograph Watch,Clothing,L,A black square chronograph watch with a textured bezel and rubber strap.,Black,8,16.16,38.jpg,https://drive.google.com/file/d/1pOsyymibMbf1X-PnBzxsLjYlAtd0gftN/view?usp=drivesdk
39,RF Logo Cap,Clothing,L,A black baseball cap featuring a red embroidered RF logo on the front.,Black,15,36.38,39.jpg,https://drive.google.com/file/d/1Y4x8lo1Kc6tGZZ3FIK_mcNumT0d7OAvO/view?usp=drivesdk
40,Pink Wristwatch,Clothing,M,A stylish wristwatch with a pink textured strap and a silver rectangular face adorned with small crystals.,Pink,41,31.78,40.jpg,https://drive.google.com/file/d/1IReHiXKhtta94iCA-3l-yZdTVjtdZoSR/view?usp=drivesdk
